GameAndDrive,FirstDowns,yards_gained,yards_per_first_down,touchdown
20140928055,1,3,3.0,0.0
20140928056,1,-9,-9.0,0.0
20140928057,1,-4,-4.0,0.0
20140928058,2,-1,-0.5,1.0
20140928059,1,-2,-2.0,0.0
20140928061,5,44,8.8,1.0
20140928062,3,9,3.0,0.0
20140928063,2,10,5.0,0.0
20140928064,4,26,6.5,1.0
20140928065,1,1,1.0,0.0
20140928066,5,40,8.0,1.0
20140928067,1,1,1.0,0.0
20140928068,1,0,0.0,0.0
20140928069,5,52,10.4,1.0
20140928071,1,0,0.0,0.0
20140928072,1,2,2.0,1.0
20140928073,1,0,0.0,0.0
20140928074,2,3,1.5,0.0
20140928075,5,36,7.2,0.0
20140928076,1,-4,-4.0,0.0
20140928077,5,49,9.8,1.0
20140928078,3,10,3.3333333333333335,0.0
20140928079,7,27,3.857142857142857,1.0
20140928081,1,0,0.0,0.0
20140928082,1,1,1.0,0.0
20140928083,4,14,3.5,0.0
20140928084,3,21,7.0,0.0
20140928085,5,42,8.4,1.0
20140928086,3,72,24.0,0.0
20140928087,4,25,6.25,0.0
20140928088,3,14,4.666666666666667,0.0
20140928089,1,-6,-6.0,0.0
20140928091,2,15,7.5,0.0
20140928092,1,3,3.0,0.0
20140928093,6,32,5.333333333333333,0.0
20140928094,2,4,2.0,0.0
20140928095,2,-3,-1.5,1.0
20140928096,1,1,1.0,0.0
20140928097,1,7,7.0,0.0
20140928098,3,23,7.666666666666667,0.0
20140928099,1,2,2.0,0.0
20140928101,5,15,3.0,1.0
20140928102,4,16,4.0,0.0
20140928103,4,39,9.75,0.0
20140928104,5,50,10.0,0.0
20140928105,3,15,5.0,0.0
20140928106,1,8,8.0,0.0
20140928107,2,39,19.5,0.0
20140928108,1,0,0.0,0.0
20140928109,5,65,13.0,0.0
20140929001,4,7,1.75,0.0
20140929002,1,4,4.0,0.0
20140929003,6,39,6.5,0.0
20140929004,3,15,5.0,0.0
20140929005,3,86,28.666666666666668,0.0
20140929006,3,9,3.0,0.0
20140929007,3,15,5.0,0.0
20140929008,2,25,12.5,0.0
20140929009,5,56,11.2,0.0
20141002001,1,0,0.0,0.0
20141002002,1,3,3.0,0.0
20141002003,3,53,17.666666666666668,1.0
20141002004,2,0,0.0,0.0
20141002005,2,5,2.5,1.0
20141002006,1,0,0.0,0.0
20141002007,1,0,0.0,0.0
20141002008,2,5,2.5,0.0
20141002009,1,-1,-1.0,0.0
20141005001,2,15,7.5,0.0
20141005002,1,0,0.0,0.0
20141005003,4,13,3.25,0.0
20141005004,1,2,2.0,0.0
20141005005,2,10,5.0,0.0
20141005006,2,-16,-8.0,0.0
20141005007,1,-1,-1.0,1.0
20141005008,1,3,3.0,0.0
20141005009,5,28,5.6,1.0
20141005011,2,0,0.0,0.0
20141005012,1,0,0.0,0.0
20141005013,2,8,4.0,0.0
20141005014,4,15,3.75,0.0
20141005015,3,20,6.666666666666667,0.0
20141005016,4,18,4.5,0.0
20141005017,2,4,2.0,0.0
20141005018,1,0,0.0,0.0
20141005019,6,43,7.166666666666667,0.0
20141005021,2,5,2.5,0.0
20141005022,1,3,3.0,0.0
20141005023,1,2,2.0,0.0
20141005024,1,-7,-7.0,0.0
20141005025,1,1,1.0,0.0
20141005026,3,14,4.666666666666667,1.0
20141005027,2,1,0.5,0.0
20141005028,1,-8,-8.0,0.0
20141005029,1,2,2.0,0.0
20141005031,3,27,9.0,0.0
20141005032,1,1,1.0,0.0
20141005033,1,2,2.0,0.0
20141005034,1,9,9.0,0.0
20141005035,1,0,0.0,0.0
20141005036,2,1,0.5,0.0
20141005037,2,13,6.5,0.0
20141005038,2,13,6.5,0.0
20141005039,5,28,5.6,0.0
20141005041,1,5,5.0,0.0
20141005042,6,22,3.6666666666666665,0.0
20141005043,2,11,5.5,0.0
20141005044,1,0,0.0,0.0
20141005045,4,29,7.25,0.0
20141005046,3,1,0.3333333333333333,0.0
20141005047,2,-5,-2.5,0.0
20141005048,1,3,3.0,0.0
20141005049,5,50,10.0,1.0
20141005051,2,5,2.5,0.0
20141005052,1,2,2.0,0.0
20141005053,2,4,2.0,0.0
20141005054,2,5,2.5,0.0
20141005055,6,61,10.166666666666666,0.0
20141005056,2,-2,-1.0,0.0
20141005057,3,3,1.0,1.0
20141005058,2,33,16.5,0.0
20141005059,3,19,6.333333333333333,0.0
20141005061,2,3,1.5,0.0
20141005062,1,1,1.0,0.0
20141005063,6,19,3.1666666666666665,1.0
20141005064,6,42,7.0,0.0
20141005066,2,10,5.0,0.0
20141005067,1,1,1.0,0.0
20141005068,5,34,6.8,0.0
20141005069,4,43,10.75,0.0
20141005071,1,0,0.0,0.0
20141005072,2,4,2.0,0.0
20141005073,5,28,5.6,0.0
20141005074,1,3,3.0,0.0
20141005075,3,7,2.3333333333333335,0.0
20141005076,3,29,9.666666666666666,0.0
20141005077,2,13,6.5,0.0
20141005078,2,1,0.5,0.0
20141005079,2,0,0.0,0.0
20141005081,2,22,11.0,0.0
20141005082,2,4,2.0,0.0
20141005083,3,6,2.0,1.0
20141005084,1,5,5.0,0.0
20141005085,4,60,15.0,1.0
20141005086,5,29,5.8,0.0
20141005087,7,26,3.7142857142857144,1.0
20141005088,1,5,5.0,0.0
20141005089,1,75,75.0,0.0
20141005091,7,7,1.0,0.0
20141005092,5,31,6.2,1.0
20141005093,3,-2,-0.6666666666666666,0.0
20141005094,1,6,6.0,0.0
20141005095,1,1,1.0,0.0
20141005096,1,0,0.0,0.0
20141005097,2,17,8.5,0.0
20141005098,3,2,0.6666666666666666,1.0
20141005099,1,5,5.0,0.0
20141005101,2,1,0.5,0.0
20141005102,4,0,0.0,1.0
20141005103,2,7,3.5,0.0
20141005104,3,9,3.0,0.0
20141005105,1,3,3.0,0.0
20141005106,3,7,2.3333333333333335,0.0
20141005107,1,0,0.0,0.0
20141005108,4,0,0.0,1.0
20141005109,3,6,2.0,0.0
20141005111,6,29,4.833333333333333,1.0
20141005112,4,27,6.75,0.0
20141005113,5,19,3.8,0.0
20141005114,2,5,2.5,0.0
20141005115,2,9,4.5,0.0
20141005116,7,32,4.571428571428571,0.0
20141005117,1,-1,-1.0,0.0
20141005118,1,0,0.0,0.0
20141005119,3,43,14.333333333333334,0.0
20141005121,5,65,13.0,1.0
20141005122,4,20,5.0,0.0
20141005123,3,23,7.666666666666667,0.0
20141005124,1,7,7.0,0.0
20141005125,3,0,0.0,0.0
20141005126,1,0,0.0,0.0
20141005127,3,10,3.3333333333333335,0.0
20141005128,5,19,3.8,0.0
20141005129,5,20,4.0,0.0
20141006001,3,20,6.666666666666667,0.0
20141006002,4,4,1.0,0.0
20141006003,4,13,3.25,0.0
20141006004,1,0,0.0,0.0
20141006005,2,22,11.0,0.0
20141006006,1,4,4.0,0.0
20141006007,3,28,9.333333333333334,0.0
20141006008,1,4,4.0,0.0
20141006009,4,64,16.0,0.0
20141009001,1,0,0.0,0.0
20141009002,3,4,1.3333333333333333,0.0
20141009003,2,54,27.0,0.0
20141009004,1,2,2.0,0.0
20141009005,4,16,4.0,1.0
20141009006,1,4,4.0,0.0
20141009007,4,17,4.25,1.0
20141009008,6,25,4.166666666666667,1.0
20141009009,1,0,0.0,0.0
20141012001,3,20,6.666666666666667,0.0
20141012002,3,20,6.666666666666667,0.0
20141012003,3,13,4.333333333333333,0.0
20141012004,1,0,0.0,0.0
20141012005,4,29,7.25,0.0
20141012006,3,31,10.333333333333334,0.0
20141012007,5,33,6.6,1.0
20141012008,2,4,2.0,0.0
20141012009,5,53,10.6,0.0
20141012011,1,-3,-3.0,0.0
20141012012,2,7,3.5,0.0
20141012013,3,6,2.0,0.0
20141012014,4,27,6.75,0.0
20141012015,2,8,4.0,0.0
20141012016,4,19,4.75,0.0
20141012017,1,2,2.0,0.0
20141012018,1,-9,-9.0,0.0
20141012019,4,9,2.25,1.0
20141012021,7,31,4.428571428571429,1.0
20141012022,5,16,3.2,1.0
20141012023,1,6,6.0,0.0
20141012024,1,89,89.0,0.0
20141012025,4,2,0.5,0.0
20141012026,4,13,3.25,0.0
20141012028,7,34,4.857142857142857,0.0
20141012029,1,6,6.0,1.0
20141012031,1,6,6.0,0.0
20141012032,1,0,0.0,0.0
20141012033,4,16,4.0,0.0
20141012034,1,-2,-2.0,0.0
20141012035,3,8,2.6666666666666665,0.0
20141012036,3,47,15.666666666666666,0.0
20141012037,1,0,0.0,0.0
20141012038,1,3,3.0,1.0
20141012039,2,21,10.5,0.0
20141012041,5,43,8.6,0.0
20141012042,2,12,6.0,0.0
20141012043,2,-2,-1.0,0.0
20141012044,2,4,2.0,0.0
20141012045,3,11,3.6666666666666665,0.0
20141012046,1,-9,-9.0,0.0
20141012047,2,7,3.5,0.0
20141012048,1,0,0.0,0.0
20141012049,3,12,4.0,0.0
20141012051,4,20,5.0,1.0
20141012052,4,29,7.25,0.0
20141012053,3,6,2.0,0.0
20141012054,1,-1,-1.0,0.0
20141012055,2,15,7.5,0.0
20141012056,1,2,2.0,0.0
20141012057,2,0,0.0,0.0
20141012058,3,4,1.3333333333333333,0.0
20141012059,2,8,4.0,0.0
20141012061,2,55,27.5,0.0
20141012062,2,-1,-0.5,0.0
20141012063,2,15,7.5,0.0
20141012064,4,2,0.5,1.0
20141012065,2,12,6.0,0.0
20141012066,1,0,0.0,0.0
20141012067,1,3,3.0,0.0
20141012068,2,0,0.0,0.0
20141012069,1,3,3.0,0.0
20141012071,4,70,17.5,1.0
20141012072,2,0,0.0,0.0
20141012073,2,13,6.5,1.0
20141012074,1,-1,-1.0,0.0
20141012075,3,24,8.0,1.0
20141012076,1,0,0.0,0.0
20141012077,4,13,3.25,1.0
20141012078,1,0,0.0,0.0
20141012079,1,3,3.0,1.0
20141012081,4,3,0.75,0.0
